target	level	topic	ruby	spanish	note
手袋	N5	vida_diaria	[手袋|てぶくろ]はコートの[右|みぎ]のポケットにあります。	Los guantes están en el bolsillo derecho del abrigo.	右のポケット identifica el bolsillo derecho; 手袋 puede designar el par.
靴下	N5	compras	[黒|くろ]い[靴下|くつした]を[二足|にそく]と、[白|しろ]い[靴下|くつした]を[一足|いっそく]ください。	Quiero dos pares de calcetines negros y un par de calcetines blancos, por favor.	足 cuenta pares de calcetines o zapatos; 一足 se lee いっそく.
石鹸	N4	vida_diaria	ホテルの[石鹸|せっけん]は[小|ちい]さくて、いい[匂|にお]いがします。	El jabón del hotel es pequeño y huele bien.	いい匂いがする expresa que algo desprende un olor agradable.
歯ブラシ	N5	vida_diaria	[旅行|りょこう]のかばんに、[歯|は]ブラシを[入|い]れましたか。	¿Has metido el cepillo de dientes en la bolsa de viaje?	歯ブラシ es el cepillo; 歯磨き puede referirse al cepillado o al dentífrico según el contexto.
タオル	N5	vida_diaria	お[風呂|ふろ]のタオルは[青|あお]くて、[台所|だいどころ]のタオルは[黄色|きいろ]いです。	La toalla del baño es azul y el paño de la cocina es amarillo.	タオル puede traducirse como toalla o paño según su uso.
引き出し	N4	vida_diaria	[予備|よび]の[鍵|かぎ]は、[机|つくえ]の[一番|いちばん][上|うえ]の[引|ひ]き[出|だ]しにあります。	La llave de repuesto está en el cajón de arriba del escritorio.	一番上 especifica el cajón situado más arriba; 予備 significa de repuesto.
天井	N4	vida_diaria	[天井|てんじょう]のライトを[掃除|そうじ]したいのですが、[手|て]が[届|とど]きません。	Quiero limpiar la lámpara del techo, pero no llego con la mano.	手が届く significa alcanzar algo con la mano; no es recibir un envío.
床	N4	vida_diaria	[床|ゆか]が[濡|ぬ]れていますから、ここを[歩|ある]かないでください。	El suelo está mojado; no camines por aquí, por favor.	濡れています describe el estado húmedo del suelo.
毛布	N5	servicios	[今夜|こんや]は[寒|さむ]いので、[毛布|もうふ]をもう[一枚|いちまい][借|か]りたいです。	Esta noche hace frío, así que quisiera que me prestaran una manta más.	もう一枚 significa una más; 枚 cuenta objetos planos como mantas.
布団	N4	vida_diaria	よく[晴|は]れているので、ベランダに[布団|ふとん]を[干|ほ]しました。	Como hace muy buen tiempo, he sacado el futón al balcón para airearlo al sol.	布団を干す es sacar el futón a airear o secar; no implica que estuviera recién lavado.
電子レンジ	N4	comida	[冷|つめ]たくなったご[飯|はん]を、[電子|でんし]レンジで[温|あたた]めました。	He calentado en el microondas el arroz que se había enfriado.	温める es transitivo: alguien calienta la comida.
洗濯機	N4	vida_diaria	[洗濯機|せんたくき]から[変|へん]な[音|おと]がしたので、すぐに[止|と]めました。	La lavadora hizo un ruido extraño, así que la paré enseguida.	音がする significa oírse o producirse un sonido.
炊飯器	N4	vida_diaria	[朝|あさ][七時|しちじ]にご[飯|はん]が[炊|た]けるように、[炊飯器|すいはんき]をセットしました。	He programado la arrocera para que el arroz esté listo a las siete de la mañana.	炊ける señala que el arroz termina de cocinarse; ように expresa el resultado buscado.
濡れる	N4	vida_diaria	[傘|かさ]は[持|も]っていましたが、[風|かぜ]が[強|つよ]くてかばんまで[濡|ぬ]れました。	Llevaba paraguas, pero hacía tanto viento que hasta se me mojó la bolsa.	まで destaca que la bolsa también acabó mojada pese al paraguas.
畳む	N4	vida_diaria	[乾|かわ]いたシャツを[畳|たた]んでから、[引|ひ]き[出|だ]しにしまいました。	He doblado las camisas secas y después las he guardado en el cajón.	畳む significa doblar ropa; しまう significa guardarla en este uso.
片付ける	N4	vida_diaria	[友達|ともだち]が[来|く]る[前|まえ]に、テーブルの[上|うえ]を[片付|かたづ]けておきます。	Voy a despejar la mesa antes de que vengan mis amigos.	片付ける implica ordenar o retirar cosas; no exige limpiar con agua.
包む	N4	vida_diaria	コップが[割|わ]れないように、[新聞紙|しんぶんし]で[一|ひと]つずつ[包|つつ]みました。	He envuelto los vasos uno por uno en papel de periódico para que no se rompan.	一つずつ expresa distribución individual; ように introduce la finalidad preventiva.
ほどく	N3	vida_diaria	[箱|はこ]のひもをほどこうとしましたが、[結|むす]び[目|め]が[固|かた]くてほどけませんでした。	Intenté desatar el cordel de la caja, pero el nudo estaba tan apretado que no pude.	ほどく es desatar; ほどけません expresa que no se pudo deshacer el nudo.
滑る	N4	transporte	[道|みち]が[凍|こお]っていて[滑|すべ]りやすいので、[駅|えき]までゆっくり[歩|ある]きました。	El camino estaba helado y era fácil resbalar, así que caminé despacio hasta la estación.	La raíz verbal seguida de やすい expresa facilidad o propensión a una acción.
ぶつかる	N4	vida_diaria	[大|おお]きな[箱|はこ]を[運|はこ]んでいて、ドアにぶつかってしまいました。	Mientras transportaba una caja grande, choqué con la puerta sin querer.	に señala contra qué se choca; てしまう expresa el resultado involuntario.
震える	N3	trabajo	[初|はじ]めて[大勢|おおぜい]の[前|まえ]で[話|はな]したとき、[緊張|きんちょう]で[手|て]が[震|ふる]えました。	La primera vez que hablé ante mucha gente, me temblaron las manos de los nervios.	で marca la causa del temblor: la tensión, no el frío.
焦る	N3	educacion	[試験|しけん]の[残|のこ]り[時間|じかん]を[見|み]て[焦|あせ]りましたが、まず[名前|なまえ]を[確認|かくにん]しました。	Me agobié al ver cuánto tiempo quedaba de examen, pero primero comprobé que había puesto mi nombre.	焦る expresa perder la calma por la presión o la prisa.
慌てる	N3	vida_diaria	[財布|さいふ]がないと[思|おも]って[慌|あわ]てましたが、コートのポケットに[入|はい]っていました。	Me alarmé al pensar que no tenía la cartera, pero estaba en el bolsillo del abrigo.	慌てる expresa una reacción precipitada de alarma; el final aclara que la cartera no se había perdido.
諦める	N4	ocio	[足|あし]をけがしたので、[今年|ことし]のマラソンは[諦|あきら]めました。	Como me lesioné la pierna, renuncié a participar en el maratón de este año.	諦める es desistir o renunciar; no significa olvidar que existe la carrera.
励ます	N3	educacion	[試験|しけん]に[落|お]ちた[友人|ゆうじん]を、[次|つぎ]はきっと[大丈夫|だいじょうぶ]だと[励|はげ]ましました。	Animé a un amigo que había suspendido el examen diciéndole que la próxima vez seguro que le iría bien.	励ます significa dar ánimos; と introduce las palabras de apoyo.
叱る	N4	vida_diaria	[道路|どうろ]へ[飛|と]び[出|だ]した[子供|こども]を、[母親|ははおや]が[厳|きび]しく[叱|しか]りました。	La madre regañó con severidad al niño que había salido corriendo a la calzada.	叱る es regañar por una conducta; no equivale simplemente a estar enfadado.
謝る	N3	trabajo	[同僚|どうりょう]の[書類|しょるい]にコーヒーをこぼしてしまい、すぐに[謝|あやま]りました。	Derramé café sobre los documentos de un compañero y me disculpé enseguida.	謝る significa disculparse; てしまう indica el accidente lamentado.
届ける	N4	trabajo	[姉|あね]が[忘|わす]れたお[弁当|べんとう]を、[会社|かいしゃ]まで[届|とど]けました。	Llevé a la oficina el almuerzo que mi hermana mayor se había olvidado.	届ける es llevar o hacer llegar algo a su destino; 届く expresa que llega.
取り替える	N4	vida_diaria	リモコンが[動|うご]かなかったので、[電池|でんち]を[新|あたら]しいものに[取|と]り[替|か]えました。	Como el mando a distancia no funcionaba, cambié las pilas por unas nuevas.	AをBに取り替える expresa sustituir A por B.
取り消す	N3	servicios	[同|おな]じホテルを[二重|にじゅう]に[予約|よやく]していたので、[一方|いっぽう]を[取|と]り[消|け]しました。	Había reservado dos veces el mismo hotel, así que cancelé una de las reservas.	二重に significa por duplicado; 一方 se refiere a una de las dos reservas.
延ばす	N3	ocio	[島|しま]が[気|き]に[入|い]ったので、[滞在|たいざい]を[二日|ふつか][延|の]ばしました。	Como me gustó la isla, alargué mi estancia dos días.	延ばす alarga la duración de la estancia; no aplaza aquí su inicio.
ずらす	N3	trabajo	[昼休|ひるやす]みと[重|かさ]ならないように、[会議|かいぎ]を[一時間|いちじかん][後|うし]ろにずらしました。	He retrasado la reunión una hora para que no coincida con la pausa del almuerzo.	後ろにずらす desplaza el horario hacia más tarde.
重なる	N3	ocio	[友人|ゆうじん]の[結婚式|けっこんしき]と[出張|しゅっちょう]が[重|かさ]なって、[式|しき]に[出席|しゅっせき]できません。	La boda de un amigo coincide con un viaje de trabajo y no puedo asistir a la ceremonia.	重なる indica coincidencia de fechas, no semejanza entre los actos.
余る	N4	comida	ご[飯|はん]が[余|あま]ったら、[小|ちい]さな[容器|ようき]に[分|わ]けて[冷凍|れいとう]します。	Si sobra arroz, lo reparto en recipientes pequeños y lo congelo.	余る es sobrar una vez cubierto lo necesario.
冷ます	N4	comida	スープが[熱|あつ]すぎるので、[少|すこ]し[冷|さ]ましてから[飲|の]みます。	La sopa está demasiado caliente, así que la tomaré después de dejarla enfriar un poco.	冷ます es dejar o hacer enfriar; 冷める describe que algo se enfría.
沸かす	N4	comida	お[茶|ちゃ]を[入|い]れるために、やかんでお[湯|ゆ]を[沸|わ]かしています。	Estoy hirviendo agua en la tetera para preparar té.	お湯を沸かす es una expresión habitual para hervir agua.
蒸す	N3	comida	この[魚|さかな]は[焼|や]かずに、[野菜|やさい]と[一緒|いっしょ]に[蒸|む]します。	Este pescado lo cocinaré al vapor con verduras, en lugar de asarlo.	焼かずに expresa sin asarlo; 蒸す es cocinar al vapor.
揚げる	N3	comida	[揚|あ]げたばかりのコロッケは、[外|そと]がカリッとしていておいしいです。	Las croquetas recién fritas están crujientes por fuera y muy ricas.	揚げる es freír en aceite; たばかり señala que se acaba de terminar.
混ぜる	N4	comida	[卵|たまご]と[牛乳|ぎゅうにゅう]を[混|ま]ぜてから、[小麦粉|こむぎこ]を[少|すこ]しずつ[加|くわ]えます。	Después de mezclar los huevos y la leche, añadimos la harina poco a poco.	少しずつ indica una incorporación gradual, no toda la harina de golpe.
量る	N3	transporte	[空港|くうこう]へ[行|い]く[前|まえ]に、スーツケースの[重|おも]さを[量|はか]りました。	He pesado la maleta antes de ir al aeropuerto.	量る se usa aquí para medir el peso; 重さを量る equivale a pesar.
刻む	N3	comida	[玉|たま]ねぎを[細|こま]かく[刻|きざ]んで、ひき[肉|にく]に[混|ま]ぜてください。	Pica fina la cebolla y mézclala con la carne picada, por favor.	刻む es cortar en trozos pequeños; 細かく precisa el tamaño.
剥く	N3	comida	[梨|なし]の[皮|かわ]を[剥|む]いてから、[四|よっ]つに[切|き]りました。	He pelado la pera y después la he cortado en cuatro trozos.	皮を剥く significa pelar; la lectura de 剥く en este uso es むく.
味見	N4	comida	[塩|しお]を[足|た]す[前|まえ]に、[一度|いちど][味見|あじみ]をしてください。	Prueba la comida antes de añadir más sal, por favor.	味見 es probar para comprobar el sabor, no comer una ración entera.
胡椒	N4	comida	このスープには、[胡椒|こしょう]を[少|すこ]し[入|い]れると[香|かお]りがよくなります。	Si le añades un poco de pimienta a esta sopa, mejora su aroma.	胡椒 significa pimienta; no debe confundirse con 故障, avería, de igual lectura.
小麦粉	N4	comida	[小麦粉|こむぎこ]を[切|き]らしているので、ケーキを[作|つく]る[前|まえ]に[買|か]いに[行|い]きます。	Se me ha acabado la harina, así que iré a comprarla antes de hacer el pastel.	を切らしている significa haberse quedado sin existencias de algo.
豆腐	N5	comida	[豆腐|とうふ]は[冷蔵庫|れいぞうこ]の[一番|いちばん][下|した]に[入|はい]っています。	El tofu está en la parte de abajo del frigorífico.	入っています describe que está guardado dentro, no que se esté introduciendo ahora.
大根	N4	comida	サラダに[使|つか]う[大根|だいこん]は、できるだけ[薄|うす]く[切|き]ってください。	Corta el rábano daikon para la ensalada lo más fino posible, por favor.	大根 es el rábano blanco japonés; 薄く se refiere al grosor del corte.
人参	N5	comida	[人参|にんじん]を[一本|いっぽん]、[細|ほそ]く[切|き]ってください。	Corta una zanahoria en tiras finas, por favor.	細く indica tiras estrechas; no equivale a 薄く, en láminas finas.
きゅうり	N5	comida	きゅうりを[三本|さんぼん][買|か]って、[一本|いっぽん]はサラダに[使|つか]いました。	Compré tres pepinos y utilicé uno para la ensalada.	本 cuenta objetos alargados; 三本 y 一本 cambian de lectura: さんぼん e いっぽん.
キャベツ	N4	comida	キャベツを[切|き]りすぎたので、[残|のこ]りは[明日|あした]のスープに[使|つか]います。	He cortado demasiada col, así que usaré lo que sobra en la sopa de mañana.	切りすぎる expresa exceso de cantidad cortada, no que el corte sea demasiado fino.
じゃがいも	N5	compras	じゃがいもは[一袋|ひとふくろ]に[五|いつ]つ[入|はい]っています。	Cada bolsa contiene cinco patatas.	一袋 se lee ひとふくろ; 五つ cuenta cinco unidades sin un contador específico.
きのこ	N3	comida	[肉|にく]の[代|か]わりにきのこを[使|つか]って、パスタを[作|つく]りました。	He preparado pasta usando setas en lugar de carne.	の代わりに expresa una sustitución; no dice que se añadieran ambas cosas.
桃	N4	comida	この[桃|もも]は[柔|やわ]らかいので、[強|つよ]く[押|お]さないでください。	Este melocotón está blando; no lo aprietes con fuerza, por favor.	押す significa presionar; el aviso se refiere a la fruta delicada.
葡萄	N5	compras	[市場|いちば]で[買|か]った[葡萄|ぶどう]は、[甘|あま]くておいしかったです。	Las uvas que compré en el mercado estaban dulces y ricas.	葡萄 se lee ぶどう; en este contexto 市場 se lee いちば, mercado físico.
