exercise_id,source_language,target_language,direction,source_text,reference_translation,accepted_alternatives_json,jlpt_level,difficulty,topic_tags,situation_tags,grammar_tags,particle_tags,vocabulary_tags,kanji_tags,verb_tags,adjective_tags,counter_tags,register,communicative_function,tense_aspect,polarity,sentence_type,pedagogical_notes,ambiguity_notes,core_exercise,active,dataset_version
JAES-N5-0001,ja,es,ja_es,毎朝七時に起きます。,Me levanto a las siete cada mañana.,"[""Cada mañana me levanto a las siete.""]",N5,2,rutina|tiempo,casa,polite_present|particle_ni,に,毎朝|七時|起きる,毎|朝|七|時|起,起きる,,,cortés,describir_rutina,presente,afirmativa,declarativa,,,true,true,1.0
JAES-N5-0002,ja,es,ja_es,駅の前で友達を待っています。,Estoy esperando a un amigo delante de la estación.,"[""Espero a un amigo frente a la estación.""]",N5,3,viaje|amistad,estación,progressive_teiru|particle_de|particle_wo,で|を,駅|前|友達|待つ,駅|前|友|達|待,待つ,,,neutro,describir_accion,progresivo,afirmativa,declarativa,,,true,true,1.0
JAES-N5-0003,ja,es,ja_es,この本はあまり難しくないです。,Este libro no es muy difícil.,[],N5,3,estudio,casa,adverb_amari|i_adjective_negative,は,本|難しい,本|難,,難しい,,cortés,describir,presente,negativa,declarativa,,,true,true,1.0
JAES-N5-0004,ja,es,ja_es,日曜日に家族と公園へ行きました。,El domingo fui al parque con mi familia.,[],N5,3,ocio|familia,parque,past_polite|particle_to|particle_e,に|と|へ,日曜日|家族|公園|行く,日|曜|家|族|公|園|行,行く,,,cortés,narrar,pasado,afirmativa,declarativa,,,true,true,1.0
JAES-N5-0005,ja,es,ja_es,コーヒーをもう一杯ください。,Otra taza de café por favor.,"[""Deme otra taza de café, por favor.""]",N5,2,comida,cafetería,request_kudasai|counter_hai,を,コーヒー|もう|ください,,,,杯,cortés,pedir,presente,afirmativa,petición,,,true,true,1.0
JAES-N4-0006,ja,es,ja_es,雨が降っても、試合はあります。,Aunque llueva habrá partido.,[],N4,5,deporte|clima,evento,temo_concession,が|は,雨|降る|試合,雨|降|試|合,降る,,,neutro,informar,futuro,afirmativa,concesiva,,,true,true,1.0
JAES-N4-0007,ja,es,ja_es,日本へ来てから、寿司が好きになりました。,Desde que vine a Japón me empezó a gustar el sushi.,[],N4,5,viaje|comida,Japón,tekara|change_ni_naru,へ|が,日本|来る|寿司|好き,日|本|来|寿|司|好,来る,好き,,cortés,narrar,cambio,afirmativa,declarativa,,,false,true,1.0
JAES-N4-0008,ja,es,ja_es,この薬は食事の後で飲んでください。,Tome este medicamento después de comer.,[],N4,4,salud,farmacia,tekudasai|atode,は|で,薬|食事|後|飲む,薬|食|事|後|飲,飲む,,,cortés,instruir,presente,afirmativa,petición,,,false,true,1.0
JAES-N4-0009,ja,es,ja_es,電車が遅れたので、会議に間に合いませんでした。,Como el tren se retrasó no llegué a tiempo a la reunión.,[],N4,6,trabajo|viaje,oficina,node_reason|potential_negative_past,が|に,電車|遅れる|会議|間に合う,電|車|遅|会|議|間|合,遅れる|間に合う,,,cortés,explicar,pasado,negativa,causal,,,false,true,1.0
JAES-N4-0010,ja,es,ja_es,時間があれば、美術館にも行きたいです。,Si tengo tiempo también quiero ir al museo de arte.,[],N4,5,cultura|viaje,museo,ba_conditional|tai_form,が|に|も,時間|美術館|行く,時|間|美|術|館|行,行く,,,cortés,expresar_deseo,futuro,afirmativa,condicional,,,false,true,1.0
ESJA-N5-0001,es,ja,es_ja,Ayer compré verduras en el supermercado.,昨日、スーパーで野菜を買いました。,"[""昨日スーパーで野菜を買いました。""]",N5,3,compras|comida,supermercado,past_polite|particle_de|particle_wo,で|を,昨日|スーパー|野菜|買う,昨|日|野|菜|買,買う,,,cortés,narrar,pasado,afirmativa,declarativa,,,true,true,1.0
ESJA-N5-0002,es,ja,es_ja,¿A qué hora termina la clase?,授業は何時に終わりますか。,[],N5,3,estudio,clase,question_ka|particle_ni,は|に,授業|何時|終わる,授|業|何|時|終,終わる,,,cortés,preguntar,presente,afirmativa,interrogativa,,,true,true,1.0
ESJA-N5-0003,es,ja,es_ja,Mi hermana menor sabe nadar bien.,妹は上手に泳ぐことができます。,[],N5,4,familia|deporte,piscina,koto_ga_dekiru|adverb_ni,は|に|が,妹|上手|泳ぐ,妹|上|手|泳,泳ぐ,,,cortés,describir_capacidad,presente,afirmativa,declarativa,,,true,true,1.0
ESJA-N5-0004,es,ja,es_ja,No comí nada esta mañana.,今朝は何も食べませんでした。,[],N5,4,comida|rutina,casa,nanimo_negative|past_negative,は|も,今朝|何も|食べる,今|朝|何|食,食べる,,,cortés,narrar,pasado,negativa,declarativa,,,true,true,1.0
ESJA-N5-0005,es,ja,es_ja,Por favor abre la ventana.,窓を開けてください。,[],N5,2,casa,habitación,tekudasai,を,窓|開ける,窓|開,開ける,,,cortés,pedir,presente,afirmativa,petición,,,true,true,1.0
ESJA-N4-0006,es,ja,es_ja,Cuando era niño vivía cerca del mar.,子どもの時、海の近くに住んでいました。,[],N4,5,infancia|lugares,costa,toki|teiru_past,に,子ども|時|海|近く|住む,子|時|海|近|住,住む,,,cortés,narrar,pasado_continuo,afirmativa,declarativa,,,false,true,1.0
ESJA-N4-0007,es,ja,es_ja,Parece que mañana hará frío.,明日は寒くなるそうです。,[],N4,5,clima,casa,sou_hearsay|ku_naru,は,明日|寒い|なる,明|日|寒,なる,寒い,,cortés,informar,futuro,afirmativa,declarativa,,,false,true,1.0
ESJA-N4-0008,es,ja,es_ja,Aunque estoy ocupado intento leer todos los días.,忙しくても、毎日読むようにしています。,[],N4,6,rutina|estudio,casa,temo_concession|you_ni_suru,,忙しい|毎日|読む,忙|毎|日|読,読む,忙しい,,cortés,describir_hábito,presente,afirmativa,concesiva,,,false,true,1.0
ESJA-N4-0009,es,ja,es_ja,Me dijeron que no hiciera fotos aquí.,ここで写真を撮らないように言われました。,[],N4,7,normas|viaje,museo,passive|nai_you_ni,で|を|に,ここ|写真|撮る|言う,写|真|撮|言,撮る|言う,,,cortés,reportar,pasado,negativa,declarativa,,,false,true,1.0
ESJA-N4-0010,es,ja,es_ja,Si hubiera reservado antes habría sido más barato.,もっと早く予約しておけば、安かったです。,[],N4,7,viaje|dinero,hotel,te_oku_conditional|past_adjective,を,もっと|早い|予約|安い,早|予|約|安,予約する,早い|安い,,cortés,reflexionar,contrafactual,afirmativa,condicional,,,false,true,1.0
