Word_ID,Word,Reading,Meaning_EN,Concept_ID,Concept_Label,Concept_Members,Web_Rank,Web_Percentile,Dialogue_Count,Dialogue_Score,Dialogue_Evidence,Context_Families,Context_Dispersion,Register_Dispersion,Composite_Score,Composite_Rank,Composite_Percentile,Composite_JLPT
V00001,する,する,to do,lexeme.V00001,to do,する,1,0.0,0,85.0,web_prior,Trabajo y carrera|Ocio y vida diaria|Dinero y proyectos|Conocimiento y consultas|Familia y amigos,86.92,92.2,90.7716,1,0.0,N5
V00002,なる,なる,to become,lexeme.V00002,to become,なる,2,0.01,0,72.86,web_prior,Trabajo y carrera|Conocimiento y consultas|Ocio y vida diaria,69.86,79.03,77.3421,12,0.11,N5
V00003,いう,いう,to say,form.ecc1e6127c4f,to say,いう|言う,3,0.02,1,6.01,direct,Ocio y vida diaria|Conocimiento y consultas|Dinero y proyectos|Trabajo y carrera,75.48,22.56,39.0154,2157,22.46,N4
V00004,人,ひと,person,lexeme.V00004,person,人,4,0.03,35647,90.94,direct,Familia y amigos|Conocimiento y consultas|Ocio y vida diaria|Dinero y proyectos|Trabajo y carrera,86.63,85.32,86.3996,3,0.02,N5
V00005,この,この,determiner (this),lexeme.V00005,determiner (this),この,5,0.04,0,67.44,web_prior,Trabajo y carrera|Conocimiento y consultas|Ocio y vida diaria|Familia y amigos|Dinero y proyectos,86.67,73.15,73.7938,24,0.24,N5
V00006,思う,おもう,to think,lexeme.V00006,to think,思う,6,0.05,0,66.95,web_prior,Ocio y vida diaria,50.0,72.62,69.6506,45,0.46,N5
V00007,その,その,determiner (that),lexeme.V00007,determiner (that),その,7,0.06,0,66.93,web_prior,Ocio y vida diaria|Conocimiento y consultas|Trabajo y carrera|Familia y amigos|Dinero y proyectos,87.17,72.6,73.3501,26,0.26,N5
V00008,的,てき,suffix (-al/-like),lexeme.V00008,suffix (-al/-like),的,8,0.07,13631,82.6,direct,Conocimiento y consultas|Ocio y vida diaria,49.7,80.47,77.7323,11,0.1,N5
V00009,年,とし,year,lexeme.V00009,year,年,9,0.08,12361,81.75,direct,Conocimiento y consultas,50.0,79.78,77.1121,14,0.14,N5
V00010,日,ひ,day/sun,lexeme.V00010,day/sun,日,10,0.09,12496,81.85,direct,Conocimiento y consultas|Familia y amigos|Ocio y vida diaria|Trabajo y carrera|Dinero y proyectos,92.01,79.8,81.345,5,0.04,N5
V00011,私,わたし,I/me (polite),lexeme.V00011,I/me (polite),私,11,0.1,0,65.32,web_prior,Ocio y vida diaria|Familia y amigos|Trabajo y carrera|Conocimiento y consultas|Dinero y proyectos,94.52,70.85,72.531,30,0.3,N5
V00012,もの,もの,Formal noun,lexeme.V00012,Formal noun,もの,12,0.11,0,65.27,web_prior,Conocimiento y consultas|Familia y amigos|Ocio y vida diaria,75.88,70.79,70.613,39,0.4,N5
V00013,それ,それ,Determiner,lexeme.V00013,Determiner,それ,13,0.12,0,63.76,web_prior,Ocio y vida diaria|Conocimiento y consultas|Trabajo y carrera,61.74,69.16,67.7446,57,0.58,N5
V00014,者,もの,person,lexeme.V00014,person,者,14,0.13,23675,87.39,direct,Familia y amigos|Dinero y proyectos|Ocio y vida diaria|Trabajo y carrera,90.29,80.86,82.9303,4,0.03,N5
V00015,できる,できる,to be able to,lexeme.V00015,to be able to,できる,15,0.14,0,63.51,web_prior,Conocimiento y consultas|Trabajo y carrera|Dinero y proyectos|Ocio y vida diaria,78.75,68.89,69.2037,46,0.47,N5
V00016,これ,これ,Determiner,lexeme.V00016,Determiner,これ,16,0.15,0,63.46,web_prior,Conocimiento y consultas|Dinero y proyectos|Trabajo y carrera|Ocio y vida diaria,88.79,68.83,70.1571,42,0.43,N5
V00017,言う,いう,to say,form.ecc1e6127c4f,to say,いう|言う,17,0.16,1,6.01,direct,Ocio y vida diaria|Conocimiento y consultas|Dinero y proyectos|Trabajo y carrera,75.48,22.56,39.0154,2157,22.46,N4
V00018,くる,くる,verb (to come),lexeme.V00018,verb (to come),くる,18,0.17,0,62.21,web_prior,Trabajo y carrera,50.0,67.48,65.0714,90,0.93,N5
V00019,月,つき,month/moon,lexeme.V00019,month/moon,月,19,0.18,2394,67.51,direct,Ocio y vida diaria|Dinero y proyectos,50.0,70.11,67.7391,58,0.59,N5
V00020,さん,さん,suffix (honorific),lexeme.V00020,suffix (honorific),さん,20,0.19,0,61.75,web_prior,Conocimiento y consultas|Ocio y vida diaria|Trabajo y carrera|Dinero y proyectos,79.2,66.98,67.5474,60,0.61,N5
V00021,中,なか,inside/middle,lexeme.V00021,inside/middle,中,21,0.2,17656,84.85,direct,Conocimiento y consultas|Ocio y vida diaria|Trabajo y carrera|Familia y amigos|Dinero y proyectos,87.41,78.09,80.1956,7,0.06,N5
V00022,見る,みる,to see,form.6a56e3c60d92,to see,見る|みる,22,0.21,0,64.89,web_prior,Conocimiento y consultas|Ocio y vida diaria|Trabajo y carrera,75.22,70.38,70.178,41,0.42,N5
V00023,日本,にっぽん,Japan,lexeme.V00023,Japan,日本,23,0.22,1429,63.04,direct,Ocio y vida diaria|Conocimiento y consultas|Familia y amigos|Trabajo y carrera,79.72,66.52,67.3793,62,0.64,N5
V00024,一,いち,one,form.480add379530,one,一|いち,24,0.23,13988,82.83,direct,Conocimiento y consultas|Familia y amigos|Trabajo y carrera|Ocio y vida diaria|Dinero y proyectos,95.72,76.24,79.3353,8,0.07,N5
V00025,いく,いく,to go,form.e9ae52f5798b,to go,いく|行く,25,0.24,43,32.83,direct,Conocimiento y consultas|Ocio y vida diaria|Trabajo y carrera|Dinero y proyectos,82.44,49.59,52.9278,444,4.61,N5
V00026,何,なに,what,form.06e30a9671d0,what,何|なに,26,0.25,101249,100.0,direct,Ocio y vida diaria|Trabajo y carrera|Dinero y proyectos|Familia y amigos|Conocimiento y consultas,93.16,83.8,87.9549,2,0.01,N5
V00027,自分,じぶん,myself,lexeme.V00027,myself,自分,27,0.26,14817,83.33,direct,Ocio y vida diaria|Trabajo y carrera|Conocimiento y consultas,71.33,75.94,76.7842,15,0.15,N5
V00028,方,ほう,direction,lexeme.V00028,direction,方,28,0.27,0,58.72,web_prior,Conocimiento y consultas|Trabajo y carrera,44.46,63.69,61.1434,155,1.6,N5
V00029,時,とき,time,lexeme.V00029,time,時,29,0.28,19298,85.62,direct,Conocimiento y consultas|Ocio y vida diaria|Trabajo y carrera|Dinero y proyectos|Familia y amigos,98.04,76.83,80.5428,6,0.05,N5
V00030,問題,もんだい,question,lexeme.V00030,question,問題,30,0.29,7963,77.94,direct,Trabajo y carrera|Ocio y vida diaria|Conocimiento y consultas|Dinero y proyectos,82.76,73.05,74.8466,22,0.22,N5
V00031,考える,かんがえる,to think,lexeme.V00031,to think,考える,31,0.3,0,58.09,web_prior,Trabajo y carrera,50.0,63.0,61.0906,156,1.61,N5
V00032,今,いま,now,form.42ac4a583dda,now,今|いま,32,0.31,0,58.67,web_prior,Ocio y vida diaria|Trabajo y carrera|Conocimiento y consultas|Familia y amigos|Dinero y proyectos,94.1,63.64,66.0679,77,0.79,N5
V00033,みる,みる,to see,form.6a56e3c60d92,to see,見る|みる,33,0.32,0,64.89,web_prior,Conocimiento y consultas|Ocio y vida diaria|Trabajo y carrera,75.22,70.38,70.178,41,0.42,N5
V00034,やる,やる,do,lexeme.V00034,do,やる,34,0.33,0,56.92,web_prior,,50.0,61.74,59.9672,178,1.84,N5
V00035,ござる,ござる,Honorifics,lexeme.V00035,Honorifics,ござる,35,0.34,0,56.59,web_prior,Ocio y vida diaria,50.0,61.38,59.6445,184,1.91,N5
V00036,たち,たち,Uchi,lexeme.V00036,Uchi,たち,36,0.35,0,56.49,web_prior,Ocio y vida diaria|Conocimiento y consultas|Familia y amigos,63.01,61.27,60.846,162,1.68,N5
V00037,ところ,ところ,Formal noun,lexeme.V00037,Formal noun,ところ,37,0.36,0,56.43,web_prior,Trabajo y carrera|Conocimiento y consultas|Dinero y proyectos,77.78,61.21,62.2727,133,1.38,N5
V00038,いい,いい,good,lexeme.V00038,good,いい,38,0.37,0,56.12,web_prior,Conocimiento y consultas|Ocio y vida diaria|Trabajo y carrera|Familia y amigos|Dinero y proyectos,93.23,60.87,63.512,107,1.1,N5
V00039,前,まえ,before/front,lexeme.V00039,before/front,前,39,0.38,17777,84.91,direct,Ocio y vida diaria|Conocimiento y consultas|Trabajo y carrera|Dinero y proyectos|Familia y amigos,90.36,74.63,78.1155,10,0.09,N5
V00040,第,だい,No.,lexeme.V00040,No.,第,40,0.39,3175,69.96,direct,Conocimiento y consultas,50.0,67.7,66.2882,70,0.72,N5
V00041,性,せい,sex,lexeme.V00041,sex,性,41,0.4,0,55.56,web_prior,,50.0,60.26,58.6468,216,2.24,N5
V00042,行く,いく,to go,form.e9ae52f5798b,to go,いく|行く,42,0.41,43,32.83,direct,Conocimiento y consultas|Ocio y vida diaria|Trabajo y carrera|Dinero y proyectos,82.44,49.59,52.9278,444,4.61,N5
V00043,どう,どう,copper,form.39f55c5c034a,copper,どう|銅,43,0.42,0,55.36,web_prior,Dinero y proyectos|Conocimiento y consultas|Ocio y vida diaria,71.57,60.04,60.6102,168,1.74,N5
