lote,nivel,slot,japones,espanol,lecturas_kanji
2026-09-18 · 1M,N5,2051,それは食べるものではありません。,Eso no es para comer.,食べる (たべる)
2026-09-18 · 1M,N5,2052,山田さんは来ませんでしたが、店は開いていました。,"Yamada-san no vino, pero la tienda estaba abierta.",山田 (やまだ) | 来 (こ) | 店 (みせ) | 開いて (あいて)
2026-09-18 · 1M,N5,2053,バスに乗るときです。,Es al subir al autobús.,乗る (のる)
2026-09-18 · 1M,N5,2054,案内してくれてありがとうございます。,Gracias por guiarme.,案内 (あんない) | 有 (あ)
2026-09-18 · 1M,N5,2055,これは頭痛にいいものですか。,¿Es algo bueno para el dolor de cabeza?,頭痛 (ずつう)
2026-09-18 · 1M,N5,2056,山田さんに漢字を教えてもらいました。,Yamada-san me enseñó kanji.,山田 (やまだ) | 漢字 (かんじ) | 教 (おし)
2026-09-18 · 1M,N5,2057,ああ、違います。,"Ah, no es eso.",違 (ちが)
2026-09-18 · 1M,N5,2058,彼女と話すときは静かです。,"Cuando hablo con ella, estoy callado.",彼女 (かのじょ) | 話 (はな) | 静 (しず)
2026-09-18 · 1M,N5,2059,映画ならもう始まったかも。,"Si hablamos de la película, quizá ya ha empezado.",映画 (えいが) | 始まった (はじまった)
2026-09-18 · 1M,N5,2060,山とか海とか、自然の景色が好きです。,"Me gustan los paisajes naturales, como las montañas o el mar.",山 (やま) | 海 (うみ) | 自然 (しぜん) | 景色 (けしき) | 好き (すき)
2026-09-18 · 1M,N5,2061,窓口において、申請を受け付けますか。,¿Se aceptan solicitudes en la ventanilla?,窓口 (まどぐち) | 申請 (しんせい) | 受け付けます (うけつけます)
2026-09-18 · 1M,N5,2062,あら、スマホが壊れた。,"Vaya, se ha roto el móvil.",壊れた (こわれた)
2026-09-18 · 1M,N5,2063,魚より肉のほうが安いです。,La carne es más barata que el pescado.,魚 (さかな) | 肉 (にく) | 安い (やすい)
2026-09-18 · 1M,N5,2064,日本の祭りが好きだから、毎年見に行きます。,"Como me gustan los festivales japoneses, voy a verlos cada año.",日本 (にほん) | 祭り (まつり) | 好き (すき) | 毎年 (まいとし) | 見 (み) | 行 (い)
2026-09-18 · 1M,N5,2065,買い物の前に牛乳を買います。,"Antes de ir de compras, compro leche.",買い物 (かいもの) | 前 (まえ) | 牛乳 (ぎゅうにゅう) | 買います (かいます)
2026-09-18 · 1M,N5,2066,もう皿を洗いました。,Ya lavé los platos.,皿 (さら) | 洗いました (あらいました)
2026-09-18 · 1M,N5,2067,週に何回魚を食べますか。,¿Cuántas veces comes pescado a la semana?,週 (しゅう) | 何 (なん) | 回 (かい) | 魚 (さかな) | 食べます (たべます)
2026-09-18 · 1M,N5,2068,店長にパンを二十個渡して、棚に並べました。,Le entregué veinte panes al encargado y los coloqué en la estantería.,店長 (てんちょう) | 二十 (にじゅう) | 個 (こ) | 渡して (わたして) | 棚 (たな) | 並べました (ならべました)
2026-09-18 · 1M,N5,2069,どこにも行きません。,No voy a ninguna parte.,行きません (いきません)
2026-09-18 · 1M,N5,2070,駅の近くにホテルがあるので便利です。,"Hay un hotel cerca de la estación, así que es conveniente.",駅 (えき) | 近く (ちかく) | 便利 (べんり)
2026-09-18 · 1M,N5,2071,毎朝ジョギングをします。,Hago jogging cada mañana.,毎朝 (まいあさ)
2026-09-18 · 1M,N5,2072,私は日本語は好きですが、漢字がまだ難しいです。,"Me gusta el japonés, pero los kanji son todavía difíciles.",私 (わたし) | 好 (す) | 日本語 (にほんご) | 漢字 (かんじ) | 難しい (むずかしい)
2026-09-18 · 1M,N5,2073,この書類を送りますか。,¿Vas a enviar este documento?,書類 (しょるい) | 送ります (おくります)
2026-09-18 · 1M,N5,2074,友だちにケーキをあげて、家へ帰ります。,Le doy un pastel a un amigo y vuelvo a casa.,友 (とも) | 家 (いえ) | 帰ります (かえります)
2026-09-18 · 1M,N5,2075,ここではゲームをしません。外で遊びます。,Aquí no jugamos a juegos; jugamos fuera.,外 (そと) | 遊 (あそ)
2026-09-18 · 1M,N5,2076,春になると、山の花がきれいなので、写真を撮りたくなります。,"Cuando llega la primavera, como las flores de la montaña son bonitas, me entran ganas de hacer fotos.",春 (はる) | 山 (やま) | 花 (はな) | 写真 (しゃしん) | 撮 (と)
2026-09-18 · 1M,N5,2077,図書館は九時から五時までです。,La biblioteca abre de nueve a cinco.,図書館 (としょかん) | 九時 (くじ) | 五時 (ごじ)
2026-09-18 · 1M,N5,2078,このスマホの画面はとても見やすいです。,La pantalla de este móvil es muy fácil de ver.,画面 (がめん) | 見 (み)
2026-09-18 · 1M,N5,2079,お姉さんも大学生ですか。,¿Tu hermana mayor también es universitaria?,姉 (あね) | 大学生 (だいがくせい)
2026-09-18 · 1M,N5,2080,あとでお茶をいっしょに飲みませんか。,¿Te apetece tomar un té juntos más tarde?,茶 (ちゃ) | 飲 (の)
2026-09-18 · 1M,N5,2081,猫はいません。,No hay gatos.,猫 (ねこ)
2026-09-18 · 1M,N5,2082,この部屋は寒いから、窓を閉めます。,"Como esta habitación está fría, cierro la ventana.",部屋 (へや) | 寒 (さむ) | 窓 (まど) | 閉 (し)
2026-09-18 · 1M,N5,2083,この魚は新鮮です。,Este pescado está fresco.,魚 (さかな) | 新鮮 (しんせん)
2026-09-18 · 1M,N5,2084,デパートで服を見て、靴も買いました。,Miré ropa en unos grandes almacenes y también compré zapatos.,服 (ふく) | 見て (みて) | 靴 (くつ) | 買いました (かいました)
2026-09-18 · 1M,N5,2085,ここで降りてください。,"Bájese aquí, por favor.",降りてください (おりてください)
2026-09-18 · 1M,N5,2086,この展望台なら写真を撮ってもいいです。,En este mirador se pueden tomar fotos.,展望台 (てんぼうだい) | 写真 (しゃしん) | 撮って (とって)
2026-09-18 · 1M,N5,2087,ここでたばこを吸ってはいけません。,Aquí no se puede fumar.,吸 (す)
2026-09-18 · 1M,N5,2088,仕事が忙しくて、今夜は勉強しない。,"Como tengo mucho trabajo, esta noche no estudio.",仕事 (しごと) | 忙 (いそが) | 今夜 (こんや) | 勉強 (べんきょう)
2026-09-18 · 1M,N5,2089,昨日森で働いた。,Ayer trabajé en el bosque.,昨 (さく) | 日 (ひ) | 森 (もり) | 働 (はたら)
2026-09-18 · 1M,N5,2090,友だちにまた会いたいです。,Quiero volver a ver a un amigo.,友 (とも) | 会 (あ)
2026-09-18 · 1M,N5,2092,今度、近くの森を一緒に散歩しませんか。,¿Te apetece dar un paseo juntos por el bosque cercano esta vez?,今度 (こんど) | 近く (ちかく) | 森 (もり) | 一緒 (いっしょ) | 散歩 (さんぽ)
2026-09-18 · 1M,N5,2093,タクシーよりバスのほうが安い。,El autobús es más barato que el taxi.,安い (やすい)
2026-09-18 · 1M,N5,2094,電池が切れたから、充電します。,"Como se ha agotado la batería, lo cargaré.",電池 (でんち) | 切れた (きれた) | 充電 (じゅうでん)
2026-09-18 · 1M,N5,2095,旅行の前に切符を買って、後で駅で会います。,"Antes del viaje, compro el billete y luego quedo con alguien en la estación.",旅行 (りょこう) | 前に (まえに) | 切符 (きっぷ) | 買って (かって) | 後で (あとで) | 駅で (えきで) | 会います (あいます)
2026-09-18 · 1M,N5,2096,もうお祭りの踊りは始まっていますが、まだ太鼓は鳴っていません。,"Ya ha empezado el baile del festival, pero todavía no suena el tambor.",祭 (まつ) | 踊 (おど) | 始 (はじ) | 太 (たい) | 鼓 (こ) | 鳴 (な)
2026-09-18 · 1M,N5,2097,毎日お茶を飲みますか。,¿Bebes té cada día?,毎日 (まいにち) | 茶 (ちゃ) | 飲 (の)
2026-09-18 · 1M,N5,2098,家でケーキを三つ食べます。,Como tres pasteles en casa.,家 (いえ) | 三 (さん) | 食 (た)
