target	level	ruby	spanish	note
ようやく	N4	[三|さん]か[月|げつ]かかりましたが、ようやく[部屋|へや]の[修理|しゅうり]が[終|お]わりました。	Tardó tres meses, pero por fin terminó la reparación de la habitación.	ようやく expresa el final de una espera o un esfuerzo prolongado.
悩む	N3	[転職|てんしょく]するかどうか[悩|なや]んでいますが、まだ[家族|かぞく]には[話|はな]していません。	Estoy dándole vueltas a si cambiar de trabajo, pero todavía no se lo he contado a mi familia.	かどうか introduce una duda; 悩む indica que la decisión preocupa.
就職	N4	[姉|あね]は[旅行|りょこう][会社|がいしゃ]に[就職|しゅうしょく]して、[来月|らいげつ]から[働|はたら]きます。	Mi hermana mayor ha conseguido empleo en una agencia de viajes y empezará a trabajar el mes que viene.	就職する es conseguir empleo; no equivale a trabajar en este momento.
育てる	N4	ベランダで[育|そだ]てているトマトに、[今朝|けさ][初|はじ]めて[花|はな]が[咲|さ]きました。	Esta mañana han salido flores por primera vez en las tomateras que estoy cultivando en el balcón.	育てる es transitivo: alguien cultiva o cría algo.
証拠	N3	[注文|ちゅうもん]した[品物|しなもの]と[違|ちが]うので、[証拠|しょうこ]として[箱|はこ]の[写真|しゃしん]を[撮|と]りました。	Como no es el artículo que pedí, he hecho una foto de la caja como prueba.	として señala la función de la fotografía: servir de prueba.
ラジオ	N5	[祖父|そふ]は[毎朝|まいあさ]、ラジオで[天気|てんき][予報|よほう]を[聞|き]きます。	Mi abuelo escucha el pronóstico del tiempo en la radio todas las mañanas.	で indica el medio por el que escucha la información.
やり方	N4	この[結|むす]び[方|かた]は[難|むずか]しいので、やり[方|かた]をもう[一度|いちど][見|み]せてください。	Esta forma de hacer el nudo es difícil; por favor, enséñame otra vez cómo se hace.	やり方 se refiere al procedimiento; no pide una explicación del motivo.
抱える	N3	[弟|おとうと]は[大|おお]きなぬいぐるみを[両手|りょうて]で[抱|かか]えて[帰|かえ]ってきました。	Mi hermano pequeño volvió a casa llevando un peluche grande entre las dos manos.	Aquí 抱える describe cómo sostiene el objeto, no un problema abstracto.
日時	N3	[面接|めんせつ]の[日時|にちじ]が[決|き]まったら、メールで[知|し]らせてください。	Cuando se fijen la fecha y la hora de la entrevista, avísame por correo electrónico.	日時 incluye tanto la fecha como la hora.
できるだけ	N4	[隣|となり]の[部屋|へや]で[赤|あか]ちゃんが[寝|ね]ているので、できるだけ[静|しず]かに[歩|ある]いてください。	El bebé está durmiendo en la habitación de al lado; camina haciendo el menor ruido posible, por favor.	できるだけ pide el máximo esfuerzo posible, no silencio absoluto.
