id_candidata,estado,nivel_revisado,japones,espanol,motivo,vocabulario_y_contextos_previos,ejemplo_mas_proximo
N5:2051,descartada,N5,それは食べるものではありません。,Eso no es para comer.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""ある"": 381, ""それ"": 73, ""食べる"": 129}",それは私の任務ではありません。
N5:2052,descartada,N5,山田さんは来ませんでしたが、店は開いていました。,"Yamada-san no vino, pero la tienda estaba abierta.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""店"": 127, ""来る"": 59, ""開く"": 11}",山田さんは今日もノートをくれませんでした。
N5:2053,descartada,N5,バスに乗るときです。,Es al subir al autobús.,Fragmento sin contexto: «Es al subir al autobús».,"{""バス"": 87, ""乗る"": 24}",バスに乗りましょうか。
N5:2054,descartada,N5,案内してくれてありがとうございます。,Gracias por guiarme.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""する"": 871, ""案内"": 14}",特別な森を案内してくれてありがとう。
N5:2055,descartada,N5,これは頭痛にいいものですか。,¿Es algo bueno para el dolor de cabeza?,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""いい"": 70, ""これ"": 51, ""頭痛"": 2}",これはだれのものですか。
N5:2056,descartada,N5,山田さんに漢字を教えてもらいました。,Yamada-san me enseñó kanji.,Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""教える"": 11, ""漢字"": 44}",母に貯金を手伝ってもらいました。
N5:2057,descartada,N5,ああ、違います。,"Ah, no es eso.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""違う"": 17}",まあ、違います。
N5:2058,descartada,N5,彼女と話すときは静かです。,"Cuando hablo con ella, estoy callado.",La traducción «estoy callado» contradice hablar; 静か no precisa ese sentido.,"{""彼女"": 67, ""話す"": 54, ""静か"": 47}",職場は静かです。
N5:2059,descartada,N5,映画ならもう始まったかも。,"Si hablamos de la película, quizá ya ha empezado.",Vocabulario central muy repetido o variante de un contexto ya suficientemente representado; escasa aportación adicional.,"{""もう"": 88, ""始まる"": 13, ""映画"": 78}",もう始まってるわよ。
N5:2060,aceptada,N4,山とか海とか、自然の景色が好きです。,"Me gustan los paisajes naturales, como las montañas o el mar.",Aporta un uso natural de vocabulario poco representado en el banco.,"{""好き"": 57, ""山"": 37, ""景色"": 9, ""海"": 3, ""自然"": 17}",映画とか音楽とか、何が好きですか。
N5:2061,aceptada,N2,窓口において、申請を受け付けますか。,¿Se aceptan solicitudes en la ventanilla?,Aporta un uso natural de vocabulario poco representado en el banco.,"{""受け付ける"": 3, ""申請"": 1, ""窓口"": 29}",空港において集合します。
