exercise_id,source_language,target_language,direction,source_text,reference_translation,accepted_alternatives_json,jlpt_level,difficulty,topic_tags,situation_tags,grammar_tags,particle_tags,vocabulary_tags,kanji_tags,verb_tags,adjective_tags,counter_tags,register,communicative_function,tense_aspect,polarity,sentence_type,pedagogical_notes,ambiguity_notes,core_exercise,active,dataset_version
JAES-N5-CURATED-0001,ja,es,ja_es,毎朝、駅まで歩きます。,Cada mañana voy andando hasta la estación.,[],N5,3,rutina|transporte,desplazamiento,made|polite_present,まで,,,,,,cortés,describir_rutina,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,true,true,4.0
ESJA-N5-CURATED-0001,es,ja,es_ja,Cada mañana voy andando hasta la estación.,毎朝、駅まで歩きます。,[],N5,3,rutina|transporte,desplazamiento,made|polite_present,まで,,,,,,cortés,describir_rutina,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,true,true,4.0
JAES-N5-CURATED-0002,ja,es,ja_es,今日は雨ですから、傘を持って行きます。,"Como hoy llueve, llevaré un paraguas.",[],N5,4,clima|vida_diaria,salir_de_casa,kara_reason,から|を,,,,,,cortés,explicar_motivo,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,true,true,4.0
ESJA-N5-CURATED-0002,es,ja,es_ja,"Como hoy llueve, llevaré un paraguas.",今日は雨ですから、傘を持って行きます。,[],N5,4,clima|vida_diaria,salir_de_casa,kara_reason,から|を,,,,,,cortés,explicar_motivo,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,true,true,4.0
JAES-N5-CURATED-0003,ja,es,ja_es,冷蔵庫に卵が三つあります。,Hay tres huevos en la nevera.,[],N5,2,comida|contadores,cocina,existence_aru|counter,に|が,,,,,,cortés,indicar_existencia,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,true,true,4.0
ESJA-N5-CURATED-0003,es,ja,es_ja,Hay tres huevos en la nevera.,冷蔵庫に卵が三つあります。,[],N5,2,comida|contadores,cocina,existence_aru|counter,に|が,,,,,,cortés,indicar_existencia,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,true,true,4.0
JAES-N5-CURATED-0004,ja,es,ja_es,日曜日に家族と昼ご飯を作りました。,El domingo preparé el almuerzo con mi familia.,[],N5,3,familia|comida,casa,polite_past,に|と|を,,,,,,cortés,relatar_accion,pasado,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,true,true,4.0
ESJA-N5-CURATED-0004,es,ja,es_ja,El domingo preparé el almuerzo con mi familia.,日曜日に家族と昼ご飯を作りました。,[],N5,3,familia|comida,casa,polite_past,に|と|を,,,,,,cortés,relatar_accion,pasado,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,true,true,4.0
JAES-N5-CURATED-0005,ja,es,ja_es,この電車は東京駅に止まりますか。,¿Este tren para en la estación de Tokio?,[],N5,4,viaje|transporte,estacion,question_ka|particle_ni,は|に,,,,,,cortés,pedir_informacion,presente,afirmativa,interrogativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,true,true,4.0
ESJA-N5-CURATED-0005,es,ja,es_ja,¿Este tren para en la estación de Tokio?,この電車は東京駅に止まりますか。,[],N5,4,viaje|transporte,estacion,question_ka|particle_ni,は|に,,,,,,cortés,pedir_informacion,presente,afirmativa,interrogativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,true,true,4.0
JAES-N5-CURATED-0006,ja,es,ja_es,図書館では静かにしてください。,"En la biblioteca, guarde silencio, por favor.",[],N5,2,lugares|normas,biblioteca,te_kudasai|adverb_ni,では,,,,,,cortés,pedir_accion,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,true,true,4.0
ESJA-N5-CURATED-0006,es,ja,es_ja,"En la biblioteca, guarde silencio, por favor.",図書館では静かにしてください。,[],N5,2,lugares|normas,biblioteca,te_kudasai|adverb_ni,では,,,,,,cortés,pedir_accion,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,true,true,4.0
JAES-N5-CURATED-0007,ja,es,ja_es,母の誕生日に花を買いました。,Compré flores por el cumpleaños de mi madre.,[],N5,3,familia|compras,regalo,polite_past|no_possession,の|に|を,,,,,,cortés,relatar_compra,pasado,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,true,true,4.0
ESJA-N5-CURATED-0007,es,ja,es_ja,Compré flores por el cumpleaños de mi madre.,母の誕生日に花を買いました。,[],N5,3,familia|compras,regalo,polite_past|no_possession,の|に|を,,,,,,cortés,relatar_compra,pasado,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,true,true,4.0
JAES-N5-CURATED-0008,ja,es,ja_es,すみません、水を一杯ください。,"Disculpe, un vaso de agua, por favor.",[],N5,4,comida|contadores,restaurante,request_kudasai|counter,を,,,,,,cortés,pedir_bebida,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,true,true,4.0
ESJA-N5-CURATED-0008,es,ja,es_ja,"Disculpe, un vaso de agua, por favor.",すみません、水を一杯ください。,[],N5,4,comida|contadores,restaurante,request_kudasai|counter,を,,,,,,cortés,pedir_bebida,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,true,true,4.0
JAES-N5-CURATED-0009,ja,es,ja_es,田中さんは今、電話で話しています。,Tanaka está hablando por teléfono ahora.,[],N5,2,comunicacion|acciones,telefono,progressive_teiru,は|で,,,,,,cortés,describir_accion,progresivo,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,true,true,4.0
ESJA-N5-CURATED-0009,es,ja,es_ja,Tanaka está hablando por teléfono ahora.,田中さんは今、電話で話しています。,[],N5,2,comunicacion|acciones,telefono,progressive_teiru,は|で,,,,,,cortés,describir_accion,progresivo,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,true,true,4.0
JAES-N5-CURATED-0010,ja,es,ja_es,明日の午後、病院へ行きます。,Mañana por la tarde iré al hospital.,[],N5,3,salud|tiempo,cita_medica,movement_particles,へ,,,,,,cortés,expresar_plan,futuro,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,true,true,4.0
ESJA-N5-CURATED-0010,es,ja,es_ja,Mañana por la tarde iré al hospital.,明日の午後、病院へ行きます。,[],N5,3,salud|tiempo,cita_medica,movement_particles,へ,,,,,,cortés,expresar_plan,futuro,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,true,true,4.0
JAES-N5-CURATED-0011,ja,es,ja_es,私の部屋は二階にあります。,Mi habitación está en la segunda planta.,[],N5,4,casa|ubicacion,hogar,existence_aru|no_possession,の|は|に,,,,,,cortés,ubicar_lugar,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
ESJA-N5-CURATED-0011,es,ja,es_ja,Mi habitación está en la segunda planta.,私の部屋は二階にあります。,[],N5,4,casa|ubicacion,hogar,existence_aru|no_possession,の|は|に,,,,,,cortés,ubicar_lugar,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
JAES-N5-CURATED-0012,ja,es,ja_es,駅の近くに新しいパン屋があります。,Hay una panadería nueva cerca de la estación.,[],N5,2,lugares|compras,ciudad,existence_aru|i_adjective,の|に|が,,,,,,cortés,describir_lugar,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
ESJA-N5-CURATED-0012,es,ja,es_ja,Hay una panadería nueva cerca de la estación.,駅の近くに新しいパン屋があります。,[],N5,2,lugares|compras,ciudad,existence_aru|i_adjective,の|に|が,,,,,,cortés,describir_lugar,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
JAES-N5-CURATED-0013,ja,es,ja_es,兄は料理が上手です。,Mi hermano mayor cocina bien.,[],N5,3,familia|habilidades,casa,jouzu,は|が,,,,,,cortés,expresar_habilidad,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
ESJA-N5-CURATED-0013,es,ja,es_ja,Mi hermano mayor cocina bien.,兄は料理が上手です。,[],N5,3,familia|habilidades,casa,jouzu,は|が,,,,,,cortés,expresar_habilidad,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
JAES-N5-CURATED-0014,ja,es,ja_es,このかばんは軽くて便利です。,Este bolso es ligero y práctico.,[],N5,4,compras|adjetivos,tienda,adjective_te_form,は,,,,,,cortés,describir_objeto,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
ESJA-N5-CURATED-0014,es,ja,es_ja,Este bolso es ligero y práctico.,このかばんは軽くて便利です。,[],N5,4,compras|adjetivos,tienda,adjective_te_form,は,,,,,,cortés,describir_objeto,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
JAES-N5-CURATED-0015,ja,es,ja_es,昨日は忙しかったですから、早く寝ました。,"Como ayer estuve ocupado, me acosté temprano.",[],N5,2,rutina|tiempo,casa,kara_reason|i_adjective_past,は|から,,,,,,cortés,explicar_motivo,pasado,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
ESJA-N5-CURATED-0015,es,ja,es_ja,"Como ayer estuve ocupado, me acosté temprano.",昨日は忙しかったですから、早く寝ました。,[],N5,2,rutina|tiempo,casa,kara_reason|i_adjective_past,は|から,,,,,,cortés,explicar_motivo,pasado,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
JAES-N5-CURATED-0016,ja,es,ja_es,日本語の宿題はもう終わりました。,Ya he terminado los deberes de japonés.,[],N5,3,estudio|rutina,casa,mou|polite_past,の|は,,,,,,cortés,informar_finalizacion,pasado,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
ESJA-N5-CURATED-0016,es,ja,es_ja,Ya he terminado los deberes de japonés.,日本語の宿題はもう終わりました。,[],N5,3,estudio|rutina,casa,mou|polite_past,の|は,,,,,,cortés,informar_finalizacion,pasado,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
JAES-N5-CURATED-0017,ja,es,ja_es,週末に一緒に映画を見ませんか。,¿Quieres ver una película conmigo el fin de semana?,[],N5,4,ocio|amistad,invitacion,invitation_masenka,に|と|を,,,,,,cortés,invitar,futuro,afirmativa,interrogativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
ESJA-N5-CURATED-0017,es,ja,es_ja,¿Quieres ver una película conmigo el fin de semana?,週末に一緒に映画を見ませんか。,[],N5,4,ocio|amistad,invitacion,invitation_masenka,に|と|を,,,,,,cortés,invitar,futuro,afirmativa,interrogativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
JAES-N5-CURATED-0018,ja,es,ja_es,バスが来ませんから、駅まで歩きましょう。,"Como no viene el autobús, vayamos andando hasta la estación.",[],N5,2,transporte|planes,parada_bus,kara_reason|mashou,が|から|まで,,,,,,cortés,proponer_accion,futuro,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
ESJA-N5-CURATED-0018,es,ja,es_ja,"Como no viene el autobús, vayamos andando hasta la estación.",バスが来ませんから、駅まで歩きましょう。,[],N5,2,transporte|planes,parada_bus,kara_reason|mashou,が|から|まで,,,,,,cortés,proponer_accion,futuro,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
JAES-N5-CURATED-0019,ja,es,ja_es,その赤いシャツを見せてください。,"Enséñeme esa camisa roja, por favor.",[],N5,3,compras|colores,tienda,te_kudasai|demonstrative_sono,を,,,,,,cortés,pedir_objeto,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
ESJA-N5-CURATED-0019,es,ja,es_ja,"Enséñeme esa camisa roja, por favor.",その赤いシャツを見せてください。,[],N5,3,compras|colores,tienda,te_kudasai|demonstrative_sono,を,,,,,,cortés,pedir_objeto,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
JAES-N5-CURATED-0020,ja,es,ja_es,ここで写真を撮ってもいいですか。,¿Puedo hacer una foto aquí?,[],N5,4,permiso|comunicacion,lugar_publico,te_mo_ii,で|を,,,,,,cortés,pedir_permiso,presente,afirmativa,interrogativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
ESJA-N5-CURATED-0020,es,ja,es_ja,¿Puedo hacer una foto aquí?,ここで写真を撮ってもいいですか。,[],N5,4,permiso|comunicacion,lugar_publico,te_mo_ii,で|を,,,,,,cortés,pedir_permiso,presente,afirmativa,interrogativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
JAES-N5-CURATED-0021,ja,es,ja_es,猫はテーブルの下で寝ています。,El gato está durmiendo debajo de la mesa.,[],N5,2,animales|ubicacion,casa,progressive_teiru|location_words,は|の|で,,,,,,cortés,describir_ubicacion,progresivo,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
ESJA-N5-CURATED-0021,es,ja,es_ja,El gato está durmiendo debajo de la mesa.,猫はテーブルの下で寝ています。,[],N5,2,animales|ubicacion,casa,progressive_teiru|location_words,は|の|で,,,,,,cortés,describir_ubicacion,progresivo,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
JAES-N5-CURATED-0022,ja,es,ja_es,コーヒーよりお茶のほうが好きです。,Me gusta más el té que el café.,[],N5,3,comida|comparacion,preferencias,yori_hou_ga,より|のほうが,,,,,,cortés,comparar_preferencia,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
ESJA-N5-CURATED-0022,es,ja,es_ja,Me gusta más el té que el café.,コーヒーよりお茶のほうが好きです。,[],N5,3,comida|comparacion,preferencias,yori_hou_ga,より|のほうが,,,,,,cortés,comparar_preferencia,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
JAES-N5-CURATED-0023,ja,es,ja_es,一週間に三回、スーパーへ行きます。,Voy al supermercado tres veces por semana.,[],N5,4,rutina|frecuencia,compras,frequency|counter,に|へ,,,,,,cortés,expresar_frecuencia,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
ESJA-N5-CURATED-0023,es,ja,es_ja,Voy al supermercado tres veces por semana.,一週間に三回、スーパーへ行きます。,[],N5,4,rutina|frecuencia,compras,frequency|counter,に|へ,,,,,,cortés,expresar_frecuencia,presente,afirmativa,declarativa,Frase N5 redactada y revisada individualmente por coherencia y naturalidad.,,false,true,4.0
