target	level	topic	ruby	spanish	note
腰	N4	vida_diaria	[重|おも]い[箱|はこ]を[持|も]ち[上|あ]げたとき、[腰|こし]に[痛|いた]みを[感|かん]じました。	Al levantar una caja pesada, noté dolor en la zona lumbar.	腰 indica la zona de la cintura o parte baja de la espalda.
膝	N4	vida_diaria	[猫|ねこ]が[膝|ひざ]の[上|うえ]で[寝|ね]ていて、[立|た]ち[上|あ]がれません。	Tengo al gato dormido en el regazo y no puedo levantarme.	膝の上 se traduce aquí como el regazo.
肘	N4	vida_diaria	[狭|せま]い[席|せき]で、[隣|となり]の[人|ひと]と[肘|ひじ]がぶつかりました。	En el asiento estrecho, mi codo chocó con el de la persona de al lado.	肘 significa codo.
爪	N4	vida_diaria	[爪|つめ]が[伸|の]びて、[手袋|てぶくろ]の[先|さき]に[穴|あな]が[開|あ]いてしまいました。	Me habían crecido las uñas y acabé agujereando la punta del guante.	爪 se refiere a las uñas de los dedos.
眉	N3	vida_diaria	[驚|おどろ]いた[顔|かお]を[描|か]くため、[眉|まゆ]を[高|たか]い[位置|いち]に[描|か]きました。	Para dibujar una cara sorprendida, coloqué las cejas más arriba.	眉 significa ceja.
唇	N3	vida_diaria	[寒|さむ]い[外|そと]に[長|なが]くいて、[唇|くちびる]が[乾|かわ]きました。	Se me resecaron los labios por estar mucho tiempo fuera con frío.	唇 son los labios.
頬	N3	vida_diaria	[冷|つめ]たい[風|かぜ]が[頬|ほお]に[当|あ]たって、[目|め]が[覚|さ]めました。	El viento frío me dio en las mejillas y me despejó.	頬 se lee aquí ほお y significa mejilla.
額	N3	vida_diaria	[額|ひたい]の[汗|あせ]をタオルで[拭|ふ]いてから、[帽子|ぼうし]をかぶりました。	Me sequé el sudor de la frente con una toalla antes de ponerme el sombrero.	額 se lee ひたい cuando significa frente.
肩	N4	vida_diaria	[鳥|とり]が[飼|か]い[主|ぬし]の[肩|かた]にとまっています。	El pájaro está posado en el hombro de su dueño.	肩 significa hombro; とまる describe dónde se posa el ave.
背中	N4	vida_diaria	[子供|こども]を[背中|せなか]に[乗|の]せて、[部屋|へや]をゆっくり[歩|ある]きました。	Llevé al niño a la espalda y caminé despacio por la habitación.	背中 es la espalda.
足首	N3	vida_diaria	[浅|あさ]い[川|かわ]でしたが、[水|みず]は[足首|あしくび]までありました。	El río era poco profundo, pero el agua llegaba hasta los tobillos.	足首 es el tobillo.
手首	N3	vida_diaria	[腕時計|うでどけい]のベルトがきつくて、[手首|てくび]に[跡|あと]が[残|のこ]りました。	La correa del reloj estaba tan apretada que me dejó una marca en la muñeca.	手首 es la muñeca, no el brazo entero.
指先	N3	vida_diaria	[手袋|てぶくろ]をしていても、[指先|ゆびさき]が[冷|つめ]たくなりました。	Aunque llevaba guantes, se me enfriaron las puntas de los dedos.	指先 son los extremos de los dedos.
息	N3	ocio	[坂道|さかみち]を[走|はし]ったので、[息|いき]が[切|き]れました。	Me quedé sin aliento por correr cuesta arriba.	息が切れる es quedarse sin aliento.
咳	N4	vida_diaria	[映画|えいが]の[静|しず]かな[場面|ばめん]で、[咳|せき]が[出|で]てしまいました。	Me entró tos justo en una escena silenciosa de la película.	咳が出る expresa toser.
鼻	N5	vida_diaria	[犬|いぬ]が[鼻|はな]で[私|わたし]の[手|て]を[軽|かる]く[押|お]しました。	El perro me empujó suavemente la mano con el hocico.	鼻 puede traducirse como hocico al hablar de un perro.
眠気	N3	vida_diaria	[昼食|ちゅうしょく]の[後|あと]に[眠気|ねむけ]が[出|で]て、[何度|なんど]もあくびをしました。	Después de comer me entró sueño y bostecé varias veces.	眠気 es la sensación de sueño.
昼寝	N4	vida_diaria	[昼寝|ひるね]を[長|なが]くしすぎて、[夜|よる]はなかなか[眠|ねむ]れませんでした。	Dormí una siesta demasiado larga y por la noche me costó conciliar el sueño.	昼寝 es dormir durante el día.
早起き	N4	ocio	[早起|はやお]きして、[誰|だれ]もいない[浜辺|はまべ]を[散歩|さんぽ]しました。	Madrugué y paseé por la playa cuando aún no había nadie.	早起きする es levantarse temprano.
徹夜	N3	educacion	[徹夜|てつや]でレポートを[書|か]いたので、[翌日|よくじつ]は[疲|つか]れていました。	Pasé la noche escribiendo el informe y al día siguiente estaba cansado.	徹夜 significa pasar toda la noche sin dormir.
特技	N3	vida_diaria	[自己紹介|じこしょうかい]で、[特技|とくぎ]は[手品|てじな]だと[話|はな]しました。	En mi presentación dije que mi habilidad especial eran los trucos de magia.	特技 es una destreza que se domina especialmente bien.
手品	N3	ocio	[弟|おとうと]の[手品|てじな]で、コインが[手|て]の[中|なか]から[消|き]えました。	En el truco de magia de mi hermano pequeño, la moneda desapareció de su mano.	手品 son trucos de magia o ilusionismo.
習字	N4	educacion	[習字|しゅうじ]の[時間|じかん]に、[筆|ふで]で[大|おお]きく[名前|なまえ]を[書|か]きました。	En la clase de caligrafía escribí mi nombre en grande con un pincel.	習字 es la práctica de la escritura caligráfica.
絵の具	N4	cultura	[青|あお]と[黄色|きいろ]の[絵|え]の[具|ぐ]を[混|ま]ぜて、[緑|みどり]を[作|つく]りました。	Mezclé pintura azul y amarilla para obtener verde.	絵の具 es pintura utilizada para dibujar o pintar.
筆	N4	cultura	[使|つか]った[筆|ふで]を[洗|あら]って、[毛|け]の[形|かたち]を[整|ととの]えました。	Lavé el pincel después de usarlo y di forma a sus cerdas.	筆 significa pincel de escritura o pintura.
彫刻	N3	cultura	[公園|こうえん]の[彫刻|ちょうこく]は、[見|み]る[角度|かくど]によって[違|ちが]う[形|かたち]に[見|み]えます。	La escultura del parque parece tener una forma distinta según el ángulo desde el que se mire.	彫刻 es escultura.
陶芸	N3	ocio	[陶芸|とうげい]の[体験|たいけん]で、[少|すこ]し[曲|ま]がった[茶碗|ちゃわん]を[作|つく]りました。	En una actividad de cerámica hice un cuenco algo torcido.	陶芸 es el arte de hacer objetos de cerámica.
裁縫	N3	vida_diaria	[祖母|そぼ]に[裁縫|さいほう]を[教|おそ]わって、ボタンを[付|つ]けられるようになりました。	Mi abuela me enseñó a coser y aprendí a poner botones.	裁縫 es costura.
編む	N3	vida_diaria	[冬|ふゆ]に[向|む]けて、[妹|いもうと]にマフラーを[編|あ]んでいます。	Estoy tejiendo una bufanda para mi hermana pequeña de cara al invierno.	編む significa tejer con hilo o lana.
縫う	N3	vida_diaria	[破|やぶ]れた[袋|ふくろ]を[縫|ぬ]って、もう[一度|いちど][使|つか]うことにしました。	Cosí la bolsa rota y decidí volver a usarla.	縫う es coser con aguja e hilo.
糸	N4	vida_diaria	[針|はり]の[穴|あな]が[小|ちい]さくて、[糸|いと]を[通|とお]すのに[時間|じかん]がかかりました。	El ojo de la aguja era tan pequeño que tardé en enhebrarla.	糸を通す significa pasar el hilo por la aguja.
針	N4	vida_diaria	[使|つか]った[針|はり]は、[子供|こども]の[手|て]が[届|とど]かない[箱|はこ]にしまいました。	Guardé la aguja usada en una caja fuera del alcance de los niños.	針 significa aguja.
布	N4	vida_diaria	[余|あま]った[布|ぬの]で、[小|ちい]さな[袋|ふくろ]を[作|つく]りました。	Hice una bolsita con la tela que había sobrado.	布 es tela.
模様	N4	compras	[細|こま]かい[模様|もよう]のカーテンを[選|えら]びました。	Elegí unas cortinas con un estampado pequeño.	模様 puede ser un estampado o dibujo repetido.
縞	N3	compras	[弟|おとうと]は[縞|しま]のあるシャツを[好|この]んで[着|き]ます。	A mi hermano pequeño le gusta llevar camisas de rayas.	縞 significa rayas como patrón de una tela.
無地	N3	compras	[仕事|しごと][用|よう]に、[無地|むじ]の[落|お]ち[着|つ]いた[色|いろ]の[服|ふく]を[買|か]いました。	Compré ropa lisa de colores discretos para trabajar.	無地 significa sin estampado.
袖	N4	compras	[袖|そで]が[長|なが]すぎるので、[少|すこ]し[折|お]って[着|き]ています。	Como las mangas son demasiado largas, las llevo un poco dobladas.	袖 significa manga de una prenda.
襟	N3	vida_diaria	シャツの[襟|えり]に[汚|よご]れが[残|のこ]っていました。	Quedaba una mancha en el cuello de la camisa.	襟 es el cuello de una prenda.
裾	N3	vida_diaria	[雨|あめ]でズボンの[裾|すそ]が[濡|ぬ]れました。	Se me mojaron los bajos del pantalón con la lluvia.	裾 es el borde inferior de una prenda.
裏地	N3	compras	このコートは[裏地|うらじ]が[厚|あつ]くて、[風|かぜ]を[通|とお]しにくいです。	Este abrigo tiene un forro grueso y deja pasar poco el viento.	裏地 es el forro interior de una prenda.
毛糸	N4	vida_diaria	[毛糸|けいと]が[足|た]りなくなり、[同|おな]じ[色|いろ]を[探|さが]しに[行|い]きました。	Se me acabó la lana y fui a buscar más del mismo color.	毛糸 es hilo de lana para tejer.
革	N3	compras	[革|かわ]のかばんは、[使|つか]ううちに[柔|やわ]らかくなりました。	El bolso de cuero se fue ablandando con el uso.	革 es cuero curtido, distinto de la piel de un animal vivo.
綿	N3	compras	[汗|あせ]をかくので、[綿|めん]のシャツを[着|き]ています。	Llevo una camisa de algodón porque sudo.	綿 se lee めん cuando se refiere a la fibra de un tejido.
絹	N3	cultura	[展示|てんじ]されていた[絹|きぬ]の[着物|きもの]は、[光|ひかり]で[色|いろ]が[変|か]わって[見|み]えました。	El kimono de seda expuesto parecía cambiar de color con la luz.	絹 es seda.
染める	N3	ocio	[白|しろ]い[布|ぬの]を、[植物|しょくぶつ]から[取|と]った[色|いろ]で[染|そ]めました。	Teñí la tela blanca con un colorante obtenido de plantas.	染める es dar color mediante tinte.
色落ち	N3	vida_diaria	[新|あたら]しいタオルが[色落|いろお]ちして、[白|しろ]いシャツに[色|いろ]が[移|うつ]りました。	La toalla nueva destiñó y manchó de color la camisa blanca.	色落ち significa que un tejido pierde o suelta color.
縮む	N3	vida_diaria	セーターを[洗|あら]ったら[縮|ちぢ]んで、[着|き]られなくなりました。	El jersey encogió al lavarlo y ya no pude ponérmelo.	縮む es disminuir de tamaño.
伸ばす	N4	vida_diaria	しわを[伸|の]ばしてから、シャツをハンガーにかけました。	Alisé las arrugas antes de colgar la camisa en una percha.	しわを伸ばす es eliminar o alisar arrugas.
しわ	N4	vida_diaria	かばんに[詰|つ]めた[服|ふく]が、しわだらけになりました。	La ropa que metí apretada en la maleta quedó llena de arrugas.	だらけ indica abundancia de algo generalmente indeseado.
染み	N3	vida_diaria	カーペットにコーヒーの[染|し]みが[残|のこ]ってしまいました。	Quedó una mancha de café en la alfombra.	染み es una mancha que penetra en el material.
雲	N5	vida_diaria	[白|しろ]い[雲|くも]が、[山|やま]の[上|うえ]をゆっくり[動|うご]いています。	Una nube blanca se mueve despacio sobre la montaña.	雲 es nube; no debe confundirse con 蜘蛛, araña.
霧	N3	transporte	[霧|きり]が[濃|こ]くて、[湖|みずうみ]の[向|む]こう[岸|ぎし]が[見|み]えません。	Hay tanta niebla que no se ve la otra orilla del lago.	霧 significa niebla.
露	N3	vida_diaria	[朝|あさ]の[草|くさ]に[露|つゆ]がついていて、[靴|くつ]が[濡|ぬ]れました。	La hierba tenía rocío por la mañana y se me mojaron los zapatos.	露 se lee つゆ y significa rocío.
霜	N3	vida_diaria	[車|くるま]の[窓|まど]に[霜|しも]が[降|お]りていました。	Había escarcha en las ventanillas del coche.	霜が降りる es formarse escarcha.
