exercise_id,source_language,target_language,direction,source_text,reference_translation,accepted_alternatives_json,jlpt_level,difficulty,topic_tags,situation_tags,grammar_tags,particle_tags,vocabulary_tags,kanji_tags,verb_tags,adjective_tags,counter_tags,register,communicative_function,tense_aspect,polarity,sentence_type,pedagogical_notes,ambiguity_notes,core_exercise,active,dataset_version
JAES-N5-ORGANIC-202608-0301,ja,es,ja_es,今朝は牛乳とパンを食べました。,Esta mañana tomé leche y pan.,[],N5,34,vida_diaria|comida,desayuno,past_polite|particle_wo,は|と|を,今朝|牛乳|パン|食べる,今朝|牛乳|食,食べる,,,cortés,narrar_rutina,pasado,afirmativa,declarativa,Lote orgánico 2026-08: N5 con vocabulario contextual y progresión temática.,,true,true,5.0
ESJA-N5-ORGANIC-202608-0301,es,ja,es_ja,Esta mañana tomé leche y pan.,今朝は牛乳とパンを食べました。,[],N5,34,vida_diaria|comida,desayuno,past_polite|particle_wo,は|と|を,今朝|牛乳|パン|食べる,今朝|牛乳|食,食べる,,,cortés,narrar_rutina,pasado,afirmativa,declarativa,Lote orgánico 2026-08: N5 con vocabulario contextual y progresión temática.,,true,true,5.0
JAES-N5-ORGANIC-202608-0302,ja,es,ja_es,明日の午後、図書館で勉強します。,Mañana por la tarde estudiaré en la biblioteca.,[],N5,36,tiempo|estudio,biblioteca,future_polite|time_expression,の|で,明日|午後|図書館|勉強,明日|午後|図書館|勉強,勉強する,,,cortés,planificar,futuro,afirmativa,declarativa,Lote orgánico 2026-08: N5 con vocabulario contextual y progresión temática.,,false,true,5.0
ESJA-N5-ORGANIC-202608-0302,es,ja,es_ja,Mañana por la tarde estudiaré en la biblioteca.,明日の午後、図書館で勉強します。,[],N5,36,tiempo|estudio,biblioteca,future_polite|time_expression,の|で,明日|午後|図書館|勉強,明日|午後|図書館|勉強,勉強する,,,cortés,planificar,futuro,afirmativa,declarativa,Lote orgánico 2026-08: N5 con vocabulario contextual y progresión temática.,,false,true,5.0
JAES-N5-ORGANIC-202608-0303,ja,es,ja_es,毎週火曜日に漢字を十個覚えます。,Cada martes aprendo diez kanji.,[],N5,42,tiempo|estudio,rutina_estudio,frequency|counter_ko,に|を,毎週|火曜日|漢字|十個|覚える,毎週|火曜日|漢字|十個|覚,覚える,,個,cortés,describir_rutina,presente,afirmativa,declarativa,Lote orgánico 2026-08: N5 con vocabulario contextual y progresión temática.,,false,true,5.0
ESJA-N5-ORGANIC-202608-0303,es,ja,es_ja,Cada martes aprendo diez kanji.,毎週火曜日に漢字を十個覚えます。,[],N5,42,tiempo|estudio,rutina_estudio,frequency|counter_ko,に|を,毎週|火曜日|漢字|十個|覚える,毎週|火曜日|漢字|十個|覚,覚える,,個,cortés,describir_rutina,presente,afirmativa,declarativa,Lote orgánico 2026-08: N5 con vocabulario contextual y progresión temática.,,false,true,5.0
JAES-N5-ORGANIC-202608-0304,ja,es,ja_es,バス停は駅の右にあります。,La parada de autobús está a la derecha de la estación.,[],N5,38,transporte|ubicacion,orientacion,existence_aru|location_words,は|の|に,バス停|駅|右|ある,停|駅|右,,,,cortés,ubicar_lugar,presente,afirmativa,declarativa,Lote orgánico 2026-08: N5 con vocabulario contextual y progresión temática.,,false,true,5.0
ESJA-N5-ORGANIC-202608-0304,es,ja,es_ja,La parada de autobús está a la derecha de la estación.,バス停は駅の右にあります。,[],N5,38,transporte|ubicacion,orientacion,existence_aru|location_words,は|の|に,バス停|駅|右|ある,停|駅|右,,,,cortés,ubicar_lugar,presente,afirmativa,declarativa,Lote orgánico 2026-08: N5 con vocabulario contextual y progresión temática.,,false,true,5.0
JAES-N5-ORGANIC-202608-0305,ja,es,ja_es,この道をまっすぐ歩いてください。,"Camina recto por esta calle, por favor.",[],N5,40,transporte|servicios,direcciones,te_kudasai|direction_expression,を,道|まっすぐ|歩く|ください,道|歩,歩く,,,cortés,dar_instrucciones,presente,afirmativa,declarativa,Lote orgánico 2026-08: N5 con vocabulario contextual y progresión temática.,,false,true,5.0
ESJA-N5-ORGANIC-202608-0305,es,ja,es_ja,"Camina recto por esta calle, por favor.",この道をまっすぐ歩いてください。,[],N5,40,transporte|servicios,direcciones,te_kudasai|direction_expression,を,道|まっすぐ|歩く|ください,道|歩,歩く,,,cortés,dar_instrucciones,presente,afirmativa,declarativa,Lote orgánico 2026-08: N5 con vocabulario contextual y progresión temática.,,false,true,5.0
JAES-N5-ORGANIC-202608-0306,ja,es,ja_es,新しい靴は少し高いです。,Los zapatos nuevos son un poco caros.,[],N5,32,compras|ropa,tienda,i_adjective|degree_adverb,は,新しい|靴|少し|高い,新|靴|少|高,,新しい|高い,,cortés,describir_objeto,presente,afirmativa,declarativa,Lote orgánico 2026-08: N5 con vocabulario contextual y progresión temática.,,true,true,5.0
ESJA-N5-ORGANIC-202608-0306,es,ja,es_ja,Los zapatos nuevos son un poco caros.,新しい靴は少し高いです。,[],N5,32,compras|ropa,tienda,i_adjective|degree_adverb,は,新しい|靴|少し|高い,新|靴|少|高,,新しい|高い,,cortés,describir_objeto,presente,afirmativa,declarativa,Lote orgánico 2026-08: N5 con vocabulario contextual y progresión temática.,,true,true,5.0
JAES-N5-ORGANIC-202608-0307,ja,es,ja_es,母は台所で野菜を切っています。,Mi madre está cortando verduras en la cocina.,[],N5,46,familia|comida|hogar,cocina,progressive_teiru|particle_de,は|で|を,母|台所|野菜|切る,母|台所|野菜|切,切る,,,cortés,describir_accion,progresivo,afirmativa,declarativa,Lote orgánico 2026-08: N5 con vocabulario contextual y progresión temática.,,false,true,5.0
ESJA-N5-ORGANIC-202608-0307,es,ja,es_ja,Mi madre está cortando verduras en la cocina.,母は台所で野菜を切っています。,[],N5,46,familia|comida|hogar,cocina,progressive_teiru|particle_de,は|で|を,母|台所|野菜|切る,母|台所|野菜|切,切る,,,cortés,describir_accion,progresivo,afirmativa,declarativa,Lote orgánico 2026-08: N5 con vocabulario contextual y progresión temática.,,false,true,5.0
JAES-N5-ORGANIC-202608-0308,ja,es,ja_es,父のかばんは机の下にあります。,El bolso de mi padre está debajo del escritorio.,[],N5,35,familia|hogar|ubicacion,habitacion,no_possession|location_words,の|は|に,父|かばん|机|下|ある,父|机|下,,,,cortés,ubicar_objeto,presente,afirmativa,declarativa,Lote orgánico 2026-08: N5 con vocabulario contextual y progresión temática.,,false,true,5.0
ESJA-N5-ORGANIC-202608-0308,es,ja,es_ja,El bolso de mi padre está debajo del escritorio.,父のかばんは机の下にあります。,[],N5,35,familia|hogar|ubicacion,habitacion,no_possession|location_words,の|は|に,父|かばん|机|下|ある,父|机|下,,,,cortés,ubicar_objeto,presente,afirmativa,declarativa,Lote orgánico 2026-08: N5 con vocabulario contextual y progresión temática.,,false,true,5.0
JAES-N5-ORGANIC-202608-0309,ja,es,ja_es,昨日、友達と地下鉄に乗りました。,Ayer subí al metro con un amigo.,[],N5,45,transporte|relaciones,ciudad,past_polite|particle_to|particle_ni,と|に,昨日|友達|地下鉄|乗る,昨日|友達|地下鉄|乗,乗る,,,cortés,narrar_desplazamiento,pasado,afirmativa,declarativa,Lote orgánico 2026-08: N5 con vocabulario contextual y progresión temática.,,false,true,5.0
